Date,Open,High,Low,Close,Adj Close,Volume
2023-05-15,1800.371216,1845.695435,1787.536377,1817.549927,1817.549927,6748889346
2023-05-16,1816.824219,1830.351563,1797.843750,1824.121460,1824.121460,5595959668
2023-05-17,1824.068359,1835.554565,1786.671997,1821.859619,1821.859619,6352161579
2023-05-18,1822.068237,1831.450317,1774.195068,1801.728516,1801.728516,5673124255
2023-05-19,1800.994385,1826.194214,1797.434448,1812.589478,1812.589478,4796110259
2023-05-20,1812.766113,1829.009644,1808.046753,1820.478027,1820.478027,2951655969
2023-05-21,1820.138062,1827.921997,1799.946899,1804.531372,1804.531372,3386768865
2023-05-22,1804.841919,1826.696533,1793.223999,1817.534790,1817.534790,4534841049
2023-05-23,1817.781128,1869.343994,1816.287964,1854.380615,1854.380615,6820047160
2023-05-24,1854.299683,1854.299683,1780.925537,1800.099976,1800.099976,7101647419
2023-05-25,1799.845215,1815.994751,1763.365112,1805.953735,1805.953735,6321689859
2023-05-26,1805.725464,1837.865845,1798.406006,1828.689697,1828.689697,5451414258
2023-05-27,1828.575684,1836.184570,1817.492065,1831.118286,1831.118286,3216737652
2023-05-28,1831.098633,1915.723267,1825.467285,1910.914185,1910.914185,6359610561
2023-05-29,1909.297485,1926.421753,1879.077515,1893.078125,1893.078125,5884674572
2023-05-30,1893.093140,1916.574951,1883.934692,1901.026611,1901.026611,5363439784
2023-05-31,1901.098267,1907.035400,1852.094727,1874.130493,1874.130493,5984512548
2023-06-01,1873.914673,1887.705322,1846.227417,1862.201416,1862.201416,5640027197
2023-06-02,1862.423706,1910.278442,1851.964722,1907.256592,1907.256592,6097746022
2023-06-03,1907.420776,1908.822266,1885.485474,1892.412476,1892.412476,3472274607
2023-06-04,1892.398193,1912.205688,1885.651855,1890.513550,1890.513550,3747042696
2023-06-05,1890.417603,1890.640503,1780.211548,1811.828369,1811.828369,9246593033
2023-06-06,1810.581421,1896.222656,1801.405273,1884.494873,1884.494873,8704411776
2023-06-07,1884.372925,1893.809082,1822.303101,1832.395996,1832.395996,7919894455
2023-06-08,1832.513550,1861.136108,1830.165039,1846.301880,1846.301880,4536041931
